8=FIX4.4; 35=8; 34=54; 49=MS; 56=EDGE; 52=2024-08-05-09:46:17; 151=8165; 55=AAAPL; 11=C_algo20240805094616; 31=0; 150=4; 39=4; 54=1; 17=exec20240805094617; 32=0; 41=algo20240805094616; 38=24493; 60=2024-08-05-09:46:17; 6=0.0; 14=8164; 37=algo20240805094616; 10=252;
8=FIX4.4; 35=8; 34=57; 49=MS; 56=EDGE; 52=2024-08-05-09:46:19; 151=8070; 55=MSFT; 11=C_algo20240805094619; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094619; 32=0; 41=algo20240805094619; 38=10760; 60=2024-08-05-09:46:19; 6=0.0; 14=0; 37=algo20240805094619; 10=252;
8=FIX4.4; 35=8; 34=64; 49=MS; 56=EDGE; 52=2024-08-05-09:46:23; 151=7669; 55=GOOG; 11=C_algo20240805094623; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094623; 32=0; 41=algo20240805094623; 38=9586; 60=2024-08-05-09:46:23; 6=0.0; 14=0; 37=algo20240805094623; 10=252;
8=FIX4.4; 35=8; 34=67; 49=MS; 56=EDGE; 52=2024-08-05-09:46:25; 151=6516; 55=GOOGL; 11=C_algo20240805094625; 31=0; 150=4; 39=4; 54=1; 17=exec20240805094625; 32=0; 41=algo20240805094625; 38=9774; 60=2024-08-05-09:46:25; 6=0.0; 14=0; 37=algo20240805094625; 10=252;
8=FIX4.4; 35=8; 34=71; 49=MS; 56=EDGE; 52=2024-08-05-09:46:28; 151=3837; 55=INTC; 11=C_algo20240805094627; 31=0; 150=4; 39=4; 54=1; 17=exec20240805094628; 32=0; 41=algo20240805094627; 38=11511; 60=2024-08-05-09:46:28; 6=0.0; 14=3837; 37=algo20240805094627; 10=252;
8=FIX4.4; 35=8; 34=74; 49=MS; 56=EDGE; 52=2024-08-05-09:46:30; 151=16341; 55=PEP; 11=C_algo20240805094630; 31=0; 150=4; 39=4; 54=1; 17=exec20240805094630; 32=0; 41=algo20240805094630; 38=20426; 60=2024-08-05-09:46:30; 6=0.0; 14=0; 37=algo20240805094630; 10=252;
8=FIX4.4; 35=8; 34=81; 49=MS; 56=EDGE; 52=2024-08-05-09:46:42; 151=19585; 55=CSCO; 11=C_algo20240805094642; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094642; 32=0; 41=algo20240805094642; 38=29377; 60=2024-08-05-09:46:42; 6=0.0; 14=0; 37=algo20240805094642; 10=252;
8=FIX4.4; 35=8; 34=84; 49=MS; 56=EDGE; 52=2024-08-05-09:46:48; 151=12166; 55=AMGN; 11=C_algo20240805094648; 31=0; 150=4; 39=4; 54=1; 17=exec20240805094648; 32=0; 41=algo20240805094648; 38=24332; 60=2024-08-05-09:46:48; 6=0.0; 14=0; 37=algo20240805094648; 10=252;
8=FIX4.4; 35=8; 34=88; 49=MS; 56=EDGE; 52=2024-08-05-09:46:51; 151=1117; 55=PYPL; 11=C_algo20240805094650; 31=0; 150=4; 39=4; 54=1; 17=exec20240805094651; 32=0; 41=algo20240805094650; 38=3347; 60=2024-08-05-09:46:51; 6=0.0; 14=1115; 37=algo20240805094650; 10=252;
8=FIX4.4; 35=8; 34=91; 49=MS; 56=EDGE; 52=2024-08-05-09:46:53; 151=22179; 55=TSLA; 11=C_algo20240805094653; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094653; 32=0; 41=algo20240805094653; 38=27723; 60=2024-08-05-09:46:53; 6=0.0; 14=0; 37=algo20240805094653; 10=252;
8=FIX4.4; 35=8; 34=94; 49=MS; 56=EDGE; 52=2024-08-05-09:46:55; 151=3416; 55=TXN; 11=C_algo20240805094655; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094655; 32=0; 41=algo20240805094655; 38=6832; 60=2024-08-05-09:46:55; 6=0.0; 14=0; 37=algo20240805094655; 10=252;
8=FIX4.4; 35=8; 34=97; 49=MS; 56=EDGE; 52=2024-08-05-09:46:59; 151=12964; 55=AVGO; 11=C_algo20240805094659; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094659; 32=0; 41=algo20240805094659; 38=25927; 60=2024-08-05-09:46:59; 6=0.0; 14=0; 37=algo20240805094659; 10=252;
8=FIX4.4; 35=8; 34=100; 49=MS; 56=EDGE; 52=2024-08-05-09:47:01; 151=17644; 55=GILD; 11=C_algo20240805094701; 31=0; 150=4; 39=4; 54=1; 17=exec20240805094701; 32=0; 41=algo20240805094701; 38=22054; 60=2024-08-05-09:47:01; 6=0.0; 14=0; 37=algo20240805094701; 10=252;
8=FIX4.4; 35=8; 34=107; 49=MS; 56=EDGE; 52=2024-08-05-09:47:05; 151=17025; 55=TMUS; 11=C_algo20240805094705; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094705; 32=0; 41=algo20240805094705; 38=22700; 60=2024-08-05-09:47:05; 6=0.0; 14=0; 37=algo20240805094705; 10=252;
8=FIX4.4; 35=8; 34=110; 49=MS; 56=EDGE; 52=2024-08-05-09:47:07; 151=21781; 55=MDLZ; 11=C_algo20240805094707; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094707; 32=0; 41=algo20240805094707; 38=27226; 60=2024-08-05-09:47:07; 6=0.0; 14=0; 37=algo20240805094707; 10=252;
8=FIX4.4; 35=8; 34=113; 49=MS; 56=EDGE; 52=2024-08-05-09:47:09; 151=11267; 55=BAC; 11=C_algo20240805094709; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094709; 32=0; 41=algo20240805094709; 38=22534; 60=2024-08-05-09:47:09; 6=0.0; 14=0; 37=algo20240805094709; 10=252;
8=FIX4.4; 35=8; 34=122; 49=MS; 56=EDGE; 52=2024-08-05-09:47:21; 151=14840; 55=WBAI; 11=C_algo20240805094720; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094721; 32=0; 41=algo20240805094720; 38=19786; 60=2024-08-05-09:47:21; 6=0.0; 14=0; 37=algo20240805094720; 10=252;
8=FIX4.4; 35=8; 34=126; 49=MS; 56=EDGE; 52=2024-08-05-09:47:24; 151=7460; 55=WUBA; 11=C_algo20240805094723; 31=0; 150=4; 39=4; 54=1; 17=exec20240805094724; 32=0; 41=algo20240805094723; 38=12432; 60=2024-08-05-09:47:24; 6=0.0; 14=2486; 37=algo20240805094723; 10=252;
8=FIX4.4; 35=8; 34=129; 49=MS; 56=EDGE; 52=2024-08-05-09:47:31; 151=13615; 55=EGHT; 11=C_algo20240805094731; 31=0; 150=4; 39=4; 54=2; 17=exec20240805094731; 32=0; 41=algo20240805094731; 38=27229; 60=2024-08-05-09:47:31; 6=0.0; 14=0; 37=algo20240805094731; 10=252;
