8=FIX4.4; 35=8; 34=52; 49=MS; 56=EDGE; 52=2024-08-05-09:46:16; 55=AAPL; 40=2; 11=algo20240805094616; 31=1276.37; 150=0; 39=0; 54=1; 44=1276.37; 32=0; 17=exec20240805094616; 38=24493; 60=2024-08-05-09:46:16; 6=0; 14=0; 37=algo20240805094616; 10=200;
8=FIX4.4; 35=8; 34=53; 49=MS; 56=EDGE; 52=2024-08-05-09:46:16; 55=AAPL; 40=2; 11=algo20240805094616; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=8164; 17=exec20240805094616; 38=24493; 60=2024-08-05-09:46:16; 6=1276.37; 14=8164; 37=algo20240805094616; 10=240;
8=FIX4.4; 35=8; 34=56; 49=MS; 56=EDGE; 52=2024-08-05-09:46:19; 55=MSFT; 40=2; 11=algo20240805094619; 31=59.89; 150=0; 39=0; 54=2; 44=59.89; 32=0; 17=exec20240805094619; 38=10760; 60=2024-08-05-09:46:19; 6=0; 14=0; 37=algo20240805094619; 10=200;
8=FIX4.4; 35=8; 34=59; 49=MS; 56=EDGE; 52=2024-08-05-09:46:21; 55=AMZN; 40=2; 11=algo20240805094621; 31=133.47; 150=0; 39=0; 54=2; 44=133.47; 32=0; 17=exec20240805094621; 38=30850; 60=2024-08-05-09:46:21; 6=0; 14=0; 37=algo20240805094621; 10=200;
8=FIX4.4; 35=8; 34=60; 49=MS; 56=EDGE; 52=2024-08-05-09:46:22; 55=AMZN; 40=2; 11=algo20240805094621; 31=133.47; 150=2; 39=2; 54=2; 44=133.47; 32=30850; 17=exec20240805094622; 38=30850; 60=2024-08-05-09:46:22; 6=133.47; 14=30850; 37=algo20240805094621; 10=246;
8=FIX4.4; 35=8; 34=61; 49=MS; 56=EDGE; 52=2024-08-05-09:46:22; 55=FB; 40=2; 11=algo20240805094622; 31=430.62; 150=0; 39=0; 54=2; 44=430.62; 32=0; 17=exec20240805094622; 38=13360; 60=2024-08-05-09:46:22; 6=0; 14=0; 37=algo20240805094622; 10=200;
8=FIX4.4; 35=8; 34=62; 49=MS; 56=EDGE; 52=2024-08-05-09:46:23; 55=FB; 40=2; 11=algo20240805094622; 31=430.62; 150=2; 39=2; 54=2; 44=430.62; 32=13360; 17=exec20240805094623; 38=13360; 60=2024-08-05-09:46:23; 6=430.62; 14=13360; 37=algo20240805094622; 10=246;
8=FIX4.4; 35=8; 34=63; 49=MS; 56=EDGE; 52=2024-08-05-09:46:23; 55=GOOG; 40=2; 11=algo20240805094623; 31=42.05; 150=0; 39=0; 54=2; 44=42.05; 32=0; 17=exec20240805094623; 38=9586; 60=2024-08-05-09:46:23; 6=0; 14=0; 37=algo20240805094623; 10=200;
8=FIX4.4; 35=8; 34=66; 49=MS; 56=EDGE; 52=2024-08-05-09:46:25; 55=GOOGL; 40=2; 11=algo20240805094625; 31=289.20; 150=0; 39=0; 54=1; 44=289.20; 32=0; 17=exec20240805094625; 38=9774; 60=2024-08-05-09:46:25; 6=0; 14=0; 37=algo20240805094625; 10=200;
8=FIX4.4; 35=8; 34=69; 49=MS; 56=EDGE; 52=2024-08-05-09:46:27; 55=INTC; 40=2; 11=algo20240805094627; 31=339.13; 150=0; 39=0; 54=1; 44=339.13; 32=0; 17=exec20240805094627; 38=11511; 60=2024-08-05-09:46:27; 6=0; 14=0; 37=algo20240805094627; 10=200;
8=FIX4.4; 35=8; 34=70; 49=MS; 56=EDGE; 52=2024-08-05-09:46:27; 55=INTC; 40=2; 11=algo20240805094627; 31=339.13; 150=1; 39=1; 54=1; 44=339.13; 32=3837; 17=exec20240805094627; 38=11511; 60=2024-08-05-09:46:27; 6=339.13; 14=3837; 37=algo20240805094627; 10=240;
