Symbol,OrderID,Side,Price,Qty,ExecID
AAPL,algo20240805094616,1,1276.37,8164,exec20240805094616
AMZN,algo20240805094621,2,133.47,30850,exec20240805094622
FB,algo20240805094622,2,430.62,13360,exec20240805094623
INTC,algo20240805094627,1,339.13,3837,exec20240805094627
NFLX,algo20240805094633,1,306.71,4095,exec20240805094633
NFLX,algo20240805094633,1,306.71,4095,exec20240805094635
NFLX,algo20240805094633,1,306.71,4095,exec20240805094642
PYPL,algo20240805094650,1,723.61,1115,exec20240805094650
SBUX,algo20240805094703,2,75.71,12191,exec20240805094704
QCOM,algo20240805094704,1,75.47,5352,exec20240805094705
DDD,algo20240805094716,1,8.01,4590,exec20240805094716
DDD,algo20240805094716,1,8.01,4590,exec20240805094717
DDD,algo20240805094716,1,8.01,4590,exec20240805094719
MMM,algo20240805094719,2,146.98,20465,exec20240805094720
WUBA,algo20240805094723,1,51.41,2486,exec20240805094723
AHC,algo20240805094734,1,1.40,2593,exec20240805094734
AHC,algo20240805094734,1,1.40,2593,exec20240805094735
