8=FIX4.4; 35=8; 34=53; 49=MS; 56=EDGE; 52=2024-08-05-09:46:16; 55=AAPL; 40=2; 11=algo20240805094616; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=8164; 17=exec20240805094616; 38=24493; 60=2024-08-05-09:46:16; 6=1276.37; 14=8164; 37=algo20240805094616; 10=240;
8=FIX4.4; 35=8; 34=60; 49=MS; 56=EDGE; 52=2024-08-05-09:46:22; 55=AMZN; 40=2; 11=algo20240805094621; 31=133.47; 150=2; 39=2; 54=2; 44=133.47; 32=30850; 17=exec20240805094622; 38=30850; 60=2024-08-05-09:46:22; 6=133.47; 14=30850; 37=algo20240805094621; 10=246;
8=FIX4.4; 35=8; 34=62; 49=MS; 56=EDGE; 52=2024-08-05-09:46:23; 55=FB; 40=2; 11=algo20240805094622; 31=430.62; 150=2; 39=2; 54=2; 44=430.62; 32=13360; 17=exec20240805094623; 38=13360; 60=2024-08-05-09:46:23; 6=430.62; 14=13360; 37=algo20240805094622; 10=246;
8=FIX4.4; 35=8; 34=70; 49=MS; 56=EDGE; 52=2024-08-05-09:46:27; 55=INTC; 40=2; 11=algo20240805094627; 31=339.13; 150=1; 39=1; 54=1; 44=339.13; 32=3837; 17=exec20240805094627; 38=11511; 60=2024-08-05-09:46:27; 6=339.13; 14=3837; 37=algo20240805094627; 10=240;
8=FIX4.4; 35=8; 34=77; 49=MS; 56=EDGE; 52=2024-08-05-09:46:33; 55=NFLX; 40=2; 11=algo20240805094633; 31=306.71; 150=1; 39=1; 54=1; 44=306.71; 32=4095; 17=exec20240805094633; 38=12285; 60=2024-08-05-09:46:33; 6=306.71; 14=4095; 37=algo20240805094633; 10=240;
8=FIX4.4; 35=8; 34=78; 49=MS; 56=EDGE; 52=2024-08-05-09:46:35; 55=NFLX; 40=2; 11=algo20240805094633; 31=306.71; 150=1; 39=1; 54=1; 44=306.71; 32=4095; 17=exec20240805094635; 38=12285; 60=2024-08-05-09:46:35; 6=306.71; 14=8190; 37=algo20240805094633; 10=240;
8=FIX4.4; 35=8; 34=79; 49=MS; 56=EDGE; 52=2024-08-05-09:46:42; 55=NFLX; 40=2; 11=algo20240805094633; 31=306.71; 150=2; 39=2; 54=1; 44=306.71; 32=4095; 17=exec20240805094642; 38=12285; 60=2024-08-05-09:46:42; 6=306.71; 14=12285; 37=algo20240805094633; 10=246;
8=FIX4.4; 35=8; 34=87; 49=MS; 56=EDGE; 52=2024-08-05-09:46:50; 55=PYPL; 40=2; 11=algo20240805094650; 31=723.61; 150=1; 39=1; 54=1; 44=723.61; 32=1115; 17=exec20240805094650; 38=3347; 60=2024-08-05-09:46:50; 6=723.61; 14=1115; 37=algo20240805094650; 10=240;
8=FIX4.4; 35=8; 34=103; 49=MS; 56=EDGE; 52=2024-08-05-09:47:04; 55=SBUX; 40=2; 11=algo20240805094703; 31=75.71; 150=2; 39=2; 54=2; 44=75.71; 32=12191; 17=exec20240805094704; 38=12191; 60=2024-08-05-09:47:04; 6=75.71; 14=12191; 37=algo20240805094703; 10=246;
8=FIX4.4; 35=8; 34=105; 49=MS; 56=EDGE; 52=2024-08-05-09:47:05; 55=QCOM; 40=2; 11=algo20240805094704; 31=75.47; 150=2; 39=2; 54=1; 44=75.47; 32=5352; 17=exec20240805094705; 38=5352; 60=2024-08-05-09:47:05; 6=75.47; 14=5352; 37=algo20240805094704; 10=246;
8=FIX4.4; 35=8; 34=116; 49=MS; 56=EDGE; 52=2024-08-05-09:47:16; 55=DDD; 40=2; 11=algo20240805094716; 31=8.01; 150=1; 39=1; 54=1; 44=8.01; 32=4590; 17=exec20240805094716; 38=13770; 60=2024-08-05-09:47:16; 6=8.01; 14=4590; 37=algo20240805094716; 10=240;
