$(head -n 1 newOrders.log)
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2024-08-05-13:01:42, 55=AAPL, 40=2, 38=18209, 21=2, 11=algo20240805130142, 60=2024-08-05-13:01:42, 54=2, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=53, 49=M3, 56=MS, 52=2024-08-05-13:01:43, 55=MSFT, 40=2, 38=29352, 21=2, 11=algo20240805130143, 60=2024-08-05-13:01:43, 54=1, 44=59.89, 10=0252,
8=FIX4.4, 35=D, 34=55, 49=M3, 56=MS, 52=2024-08-05-13:01:45, 55=AMZN, 40=2, 38=16105, 21=2, 11=algo20240805130145, 60=2024-08-05-13:01:45, 54=1, 44=133.47, 10=0252,
8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2024-08-05-13:01:50, 55=FB, 40=2, 38=11253, 21=2, 11=algo20240805130150, 60=2024-08-05-13:01:50, 54=1, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2024-08-05-13:01:50, 55=FB, 40=2, 38=11253, 21=2, 11=algo20240805130150, 60=2024-08-05-13:01:50, 54=1, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=58, 49=M3, 56=MS, 52=2024-08-05-13:01:54, 55=GOOG, 40=2, 38=17268, 21=2, 11=algo20240805130154, 60=2024-08-05-13:01:54, 54=1, 44=42.05, 10=0252,
8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2024-08-05-13:01:55, 55=GOOGL, 40=2, 38=30095, 21=2, 11=algo20240805130155, 60=2024-08-05-13:01:55, 54=2, 44=289.20, 10=0252,
8=FIX4.4, 35=D, 34=61, 49=M3, 56=MS, 52=2024-08-05-13:01:58, 55=INTC, 40=2, 38=1444, 21=2, 11=algo20240805130158, 60=2024-08-05-13:01:58, 54=2, 44=339.13, 10=0252,
8=FIX4.4, 35=D, 34=63, 49=M3, 56=MS, 52=2024-08-05-13:02:01, 55=PEP, 40=2, 38=26739, 21=2, 11=algo20240805130201, 60=2024-08-05-13:02:01, 54=2, 44=36.21, 10=0252,
8=FIX4.4, 35=D, 34=64, 49=M3, 56=MS, 52=2024-08-05-13:02:02, 55=NFLX, 40=2, 38=15995, 21=2, 11=algo20240805130202, 60=2024-08-05-13:02:02, 54=2, 44=306.71, 10=0252,
8=FIX4.4, 35=D, 34=65, 49=M3, 56=MS, 52=2024-08-05-13:02:03, 55=CSCO, 40=2, 38=27858, 21=2, 11=algo20240805130203, 60=2024-08-05-13:02:03, 54=2, 44=233.73, 10=0252,
8=FIX4.4, 35=D, 34=67, 49=M3, 56=MS, 52=2024-08-05-13:02:05, 55=AMGN, 40=2, 38=18209, 21=2, 11=algo20240805130205, 60=2024-08-05-13:02:05, 54=1, 44=116.62, 10=0252,
8=FIX4.4, 35=D, 34=68, 49=M3, 56=MS, 52=2024-08-05-13:02:07, 55=PYPL, 40=2, 38=11112, 21=2, 11=algo20240805130207, 60=2024-08-05-13:02:07, 54=1, 44=723.61, 10=0252,
8=FIX4.4, 35=D, 34=69, 49=M3, 56=MS, 52=2024-08-05-13:02:11, 55=TSLA, 40=2, 38=12676, 21=2, 11=algo20240805130211, 60=2024-08-05-13:02:11, 54=2, 44=503.77, 10=0252,
8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2024-08-05-13:02:13, 55=TXN, 40=2, 38=16426, 21=2, 11=algo20240805130213, 60=2024-08-05-13:02:13, 54=1, 44=112.46, 10=0252,
8=FIX4.4, 35=D, 34=73, 49=M3, 56=MS, 52=2024-08-05-13:02:18, 55=AVGO, 40=2, 38=24263, 21=2, 11=algo20240805130218, 60=2024-08-05-13:02:18, 54=1, 44=262.99, 10=0252,
8=FIX4.4, 35=D, 34=74, 49=M3, 56=MS, 52=2024-08-05-13:02:19, 55=GILD, 40=2, 38=31115, 21=2, 11=algo20240805130219, 60=2024-08-05-13:02:19, 54=2, 44=82.91, 10=0252,
8=FIX4.4, 35=D, 34=75, 49=M3, 56=MS, 52=2024-08-05-13:02:20, 55=SBUX, 40=2, 38=12322, 21=2, 11=algo20240805130220, 60=2024-08-05-13:02:20, 54=1, 44=75.71, 10=0252,
8=FIX4.4, 35=D, 34=77, 49=M3, 56=MS, 52=2024-08-05-13:02:22, 55=QCOM, 40=2, 38=26139, 21=2, 11=algo20240805130222, 60=2024-08-05-13:02:22, 54=1, 44=75.47, 10=0252,
8=FIX4.4, 35=D, 34=79, 49=M3, 56=MS, 52=2024-08-05-13:02:24, 55=TMUS, 40=2, 38=18153, 21=2, 11=algo20240805130224, 60=2024-08-05-13:02:24, 54=2, 44=90.74, 10=0252,
8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2024-08-05-13:02:26, 55=MDLZ, 40=2, 38=725, 21=2, 11=algo20240805130226, 60=2024-08-05-13:02:26, 54=2, 44=52.26, 10=0252,
8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2024-08-05-13:02:28, 55=BAC, 40=2, 38=26227, 21=2, 11=algo20240805130228, 60=2024-08-05-13:02:28, 54=2, 44=22.03, 10=0252,
8=FIX4.4, 35=D, 34=84, 49=M3, 56=MS, 52=2024-08-05-13:02:29, 55=DDD, 40=2, 38=5885, 21=2, 11=algo20240805130229, 60=2024-08-05-13:02:29, 54=1, 44=8.01, 10=0252,
